date,home_fitted_trend,home_fitted_lower,home_fitted_upper,fitted_trend,fitted_trend_upper,fitted_trend_lower,retail_fitted_upper,retail_fitted_lower
2020-02-15,5.673709725772376,-0.314334641417509,11.661754092962262,-52.08763290407176,11.336165343963408,-115.51143115210692,11.336165343963408,-115.51143115210692
2020-02-16,5.594378782186071,-0.39366558500381366,11.582423149375957,-50.57597061934476,12.847827628690409,-113.99976886737993,12.847827628690409,-113.99976886737993
2020-02-17,5.566875283359658,-0.4211690838302265,11.554919650549545,-48.73252255545114,14.691275692584028,-112.15632080348631,14.691275692584028,-112.15632080348631
2020-02-18,5.532456608550928,-0.45558775863895734,11.520500975740813,-47.205807390404175,16.217990857630998,-110.62960563843934,16.217990857630998,-110.62960563843934
2020-02-19,5.507090028069049,-0.4809543391208355,11.495134395258935,-45.914055479777986,17.50974276825719,-109.33785372781315,17.50974276825719,-109.33785372781315
2020-02-20,5.489895507858267,-0.4981488593316186,11.47793987504815,-44.874405222556256,18.549393025478913,-108.29820347059142,18.549393025478913,-108.29820347059142
2020-02-21,5.48214364438422,-0.5059007228056649,11.470188011574106,-44.0549952734667,19.36880297456847,-107.47879352150187,19.36880297456847,-107.47879352150187
2020-02-22,5.482576483883822,-0.505467883306064,11.470620851073706,-43.427755469342614,19.99604277869255,-106.85155371737778,19.99604277869255,-106.85155371737778
2020-02-23,5.488307439711853,-0.49973692747803156,11.47635180690174,-42.93711172501625,20.486686523018918,-106.36090997305142,20.486686523018918,-106.36090997305142
2020-02-24,5.498186612826684,-0.4898577543632009,11.486230980016568,-42.524939957235816,20.89885829079936,-105.94873820527098,20.89885829079936,-105.94873820527098
2020-02-25,5.493433963409704,-0.4946104037801816,11.481478330599588,-41.02738238464895,22.396415863386217,-104.4511806326841,22.396415863386217,-104.4511806326841
2020-02-26,5.513839403360149,-0.4742049638297373,11.501883770550034,-39.708211204965416,23.715587043069753,-103.13200945300056,23.715587043069753,-103.13200945300056
2020-02-27,5.543732553226343,-0.44431181396354213,11.531776920416227,-38.778793656751006,24.64500459128416,-102.20259190478617,24.64500459128416,-102.20259190478617
2020-02-28,5.598398933393415,-0.3896454337964693,11.586443300583301,-38.11082662745845,25.31297162057671,-101.53462487549362,25.31297162057671,-101.53462487549362
2020-02-29,5.673324850673437,-0.3147195165164479,11.66136921786332,-37.70157467217684,25.722223575858333,-101.125372920212,25.722223575858333,-101.125372920212
2020-03-01,5.774536600143974,-0.21350776704591104,11.762580967333859,-37.44910250616245,25.974695741872722,-100.87290075419762,25.974695741872722,-100.87290075419762
2020-03-02,5.897795661187167,-0.09024870600271861,11.885840028377052,-37.25819193660527,26.165606311429894,-100.68199018464044,26.165606311429894,-100.68199018464044
2020-03-03,6.038567844293259,0.05052347710337409,12.026612211483144,-37.035699967967474,26.388098280067698,-100.45949821600263,26.388098280067698,-100.45949821600263
2020-03-04,6.1976811982604705,0.20963683107058503,12.185725565450355,-36.749384649784915,26.674413598250254,-100.17318289782008,26.674413598250254,-100.17318289782008
2020-03-05,6.373969699157847,0.38592533196796197,12.362014066347733,-36.449635615978686,26.974162632056483,-99.87343386401385,26.974162632056483,-99.87343386401385
2020-03-06,6.572186778505332,0.5841424113154471,12.560231145695218,-36.31606564302181,27.107732605013364,-99.73986389105697,27.107732605013364,-99.73986389105697
2020-03-07,6.786687099497598,0.798642732307713,12.774731466687482,-36.34008531421546,27.083712933819715,-99.76388356225063,27.083712933819715,-99.76388356225063
2020-03-08,7.017404125141591,1.029359757951706,13.005448492331476,-36.38365254010929,27.040145707925877,-99.80745078814445,27.040145707925877,-99.80745078814445
2020-03-09,7.253505824570738,1.265461457380853,13.241550191760624,-36.36731225635828,27.05648599167689,-99.79111050439346,27.05648599167689,-99.79111050439346
2020-03-10,7.4894518192270665,1.5014074520371816,13.477496186416952,-36.17727736613398,27.246520881901187,-99.60107561416915,27.246520881901187,-99.60107561416915
2020-03-11,7.701575529753893,1.7135311625640064,13.689619896943777,-35.830288106968105,27.593510141067064,-99.25408635500328,27.593510141067064,-99.25408635500328
2020-03-12,7.88917361062646,1.9011292434365754,13.877217977816347,-35.40267966471034,28.021118583324828,-98.8264779127455,28.021118583324828,-98.8264779127455
2020-03-13,8.058053264298806,2.0700088971089197,14.046097631488689,-34.97124672500237,28.452551523032792,-98.39504497303756,28.452551523032792,-98.39504497303756
2020-03-14,8.207025556864966,2.218981189675082,14.195069924054854,-34.59702543791083,28.82677281012434,-98.020823685946,28.82677281012434,-98.020823685946
2020-03-15,8.336421081698159,2.348376714508273,14.324465448888045,-34.21957934486929,29.204218903165884,-97.64337759290446,29.204218903165884,-97.64337759290446
2020-03-16,8.439212212832206,2.4511678456423205,14.427256580022089,-33.761583082119486,29.662215165915683,-97.18538133015466,29.662215165915683,-97.18538133015466
2020-03-17,8.511401253715464,2.5233568865255784,14.499445620905352,-33.12291652450691,30.300881723528256,-96.54671477254207,30.300881723528256,-96.54671477254207
2020-03-18,8.551857613111741,2.563813245921856,14.539901980301627,-32.30182170217404,31.121976545861134,-95.72561995020921,31.121976545861134,-95.72561995020921
2020-03-19,8.562481269023348,2.5744369018334634,14.550525636213234,-31.382051541216306,32.04174670681887,-94.80584978925147,32.04174670681887,-94.80584978925147
2020-03-20,8.55058741639491,2.5625430492050247,14.538631783584796,-30.455420737154878,32.968377510880295,-93.87921898519005,32.968377510880295,-93.87921898519005
2020-03-21,8.538357049726338,2.5503126825364517,14.526401416916224,-29.553552827362193,33.87024542067298,-92.97735107539735,33.87024542067298,-92.97735107539735
