date,mean_Rt,lower_Rt,upper_Rt,mean_TP,lower_TP,upper_TP,Cori_Rt,mean_expected,lower_expected,upper_expected,incidence
2020-08-27,1.8151481240064529,1.5285869239035743,2.095732684473314,1.1407906581881817,0.9696720594599544,1.3119092569164086,1.159777935714286,433.49368806996915,394.8777433666034,465.90903969082876,329
2020-08-28,1.702323970125724,1.459735385591771,1.9276516243797512,1.128243682170701,0.9590071298450956,1.2974802344963057,1.0799246936428573,422.8797510314763,383.370475049209,457.0976312199152,326
2020-08-29,1.5940741896479755,1.3898253951593529,1.7752812066017984,1.117851390781096,0.9501736821639314,1.28552909939826,1.0557682902142855,415.9198085489423,372.82981648218026,455.0810490843586,320
2020-08-30,1.470443498475448,1.3014651511769493,1.6149540487865337,1.097413276928183,0.9328012853889552,1.2620252684674105,1.0089584343571427,397.3566442005632,350.9621185685871,440.3007233696749,312
2020-08-31,1.3812170715558858,1.2343490466495917,1.5059179406606056,1.093956867250362,0.9298633371628076,1.2580503973379162,0.9624242455714286,378.33053478831147,330.96784679648675,425.2594704285536,277
2020-09-01,1.3334386752709402,1.198355150579543,1.454182450971436,1.12296742956728,0.954522315132188,1.2914125440023718,0.9396596582142857,364.9984627316227,316.6197084991923,415.51665483535197,252
2020-09-02,1.295018135564736,1.1631292614411075,1.416477023710875,1.1453240983256885,0.9735254835768352,1.3171227130745415,0.9319739843571428,346.9546791012453,299.4316332924548,399.0807998972026,230
2020-09-03,1.237271678763748,1.108114720956181,1.3641266475402367,1.1514608770058938,0.9787417454550096,1.3241800085567776,0.940730181,322.5829789238578,277.83034229686643,374.1181899854966,211
2020-09-04,1.1885994621388825,1.0544128831555215,1.323009926653034,1.164454361067608,0.9897862069074664,1.3391225152277488,0.9585013394285714,296.34632990610396,255.88983159684682,346.09504034033705,193
2020-09-05,1.1450716985764358,1.004854973417755,1.2877598038205167,1.1751848869355237,0.9989071538951948,1.3514626199758522,0.9637487934285714,260.21292021390076,224.9754171322498,304.70968979341814,179
