date,M_t,delay_list,new_cases,gi_vals,infectiousness,D_t,home,H_t

2020-03-18,48.422474137642766,"[10.0, 13.0]",93.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",215.98491298853372,0.7501432585697689,1.082054130312356,1.1958190021867527
2020-03-19,48.67219929762054,"[5.0, 6.0, 7.0]",152.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",161.36270891507363,0.7501432585697689,1.0816303823239344,1.1953507022353014
2020-03-20,48.914435565573484,"[8.0, 11.0]",87.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",127.05359154324397,0.7501432585697689,1.081146894067916,1.1948163810514676
2020-03-21,49.231179054471454,"[10.0, 17.0]",147.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",116.56966536646067,0.7501432585697689,1.0804328015962563,1.1940272104147982
2020-03-22,49.64882395111371,[8.0],98.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",111.05215269818841,0.7501432585697689,1.079451558851076,1.19294280189255
2020-03-23,50.11592887386874,"[8.0, 9.0, 18.0]",64.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",114.56430399789566,0.7501432585697689,1.078333285970341,1.1917069561774867
2020-03-24,50.53915652859884,0,0.0,0,0.0,0.0,1.077282989635722,1.1905462339181467
2020-03-25,50.85180310736401,[8.0],100.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",116.30269956603915,0.7501432585697689,1.076429421110861,1.1896029230124319
2020-03-26,51.064183001260595,[5.0],104.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",108.8373246775666,0.7501432585697689,1.0757345498973163,1.1888349945161103
2020-03-27,51.254806518119395,0,0.0,0,0.0,0.0,1.0750243971836773,1.1880501778552481
2020-03-28,51.5105799108527,[11.0],146.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",102.27183593489467,0.7501432585697689,1.0741255059025714,1.1870567790550086
2020-03-29,51.86023456180229,0,0.0,0,0.0,0.0,1.0729978093240822,1.1858105188546348
2020-03-30,52.25151722970843,[6.0],78.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",98.5176183667627,0.7501432585697689,1.0717670356380278,1.1844503442386474
2020-03-31,52.589295233174404,[7.0],125.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",103.00866382409978,0.7501432585697689,1.0706331312090476,1.1831972235075736
2020-04-01,52.80709876029491,"[11.0, 12.0]",101.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",104.64664462738742,0.7501432585697689,1.069719440329279,1.1821874691103176
2020-04-02,52.91890487254356,0,0.0,0,0.0,0.0,1.06898256316432,1.1813731182461136
2020-04-03,53.008972853472706,[12.0],86.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",108.17560640542166,0.7501432585697689,1.0682435666893555,1.1805564252521534
2020-04-04,53.16911561359622,"[8.0, 7.0]",94.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",109.19237450769648,0.7501432585697689,1.067329258869604,1.1795459890511557
2020-04-05,53.430126138421926,"[6.0, 10.0, 10.0, 12.0]",81.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",105.26055512282,0.7501432585697689,1.066199904799697,1.1782978970942388
2020-04-06,53.738481235802354,"[6.0, 7.0, 10.0]",47.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",101.21492476378229,0.7501432585697689,1.064998488645644,1.176970166598782
2020-04-07,53.995992019617,[9.0],47.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",96.23102758087497,0.7501432585697689,1.0639679118943182,1.175831237197818
2020-04-08,54.13299994305262,[7.0],53.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",86.349940150091,0.7501432585697689,1.0633187463019993,1.1751138197146125
2020-04-09,54.16097048199715,0,0.0,0,0.0,0.0,1.0631464758948272,1.1749234371629083
2020-04-10,54.16234546947071,0,0.0,0,0.0,0.0,1.0634332331715128,1.1752403434902998
2020-04-11,54.228509579656055,"[6.0, 8.0]",30.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",75.15059837459361,0.7501432585697689,1.0640964404174236,1.1759732789367168
2020-04-12,54.39311528848111,[7.0],32.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",65.62795299659132,0.7501432585697689,1.064995252209667,1.176966589890804
2020-04-13,54.61164781273767,[6.0],25.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",55.577796216776186,0.7501432585697689,1.0658820605174597,1.1779466353395924
2020-04-14,54.80096273414668,0,0.0,0,0.0,0.0,1.066379952463361,1.1784968745866555
2020-04-15,54.90769668568404,0,0.0,0,0.0,0.0,1.0660714094185124,1.1781558919817317
2020-04-16,54.953426889753466,0,0.0,0,0.0,0.0,1.0646905121524912,1.1766298101115953
2020-04-17,55.019810108681604,0,0.0,0,0.0,0.0,1.0622804883436217,1.1739664015208098
2020-04-18,55.18717956374751,0,0.0,0,0.0,0.0,1.0592038980613612,1.1705663450740884
2020-04-19,55.47114289066557,0,0.0,0,0.0,0.0,1.0559975881902333,1.1670229305965825
2020-04-20,55.80547819753035,0,0.0,0,0.0,0.0,1.0531600635644571,1.163887074661449
2020-04-21,56.08492042471267,0,0.0,0,0.0,0.0,1.0510074604522757,1.1615081514323773
2020-04-22,56.239413810408905,0,0.0,0,0.0,0.0,1.04961228453572,1.1599662896847316
2020-04-23,56.28512277413649,0,0.0,0,0.0,0.0,1.048858324804438,1.1591330602294823
2020-04-24,56.31039949605944,0,0.0,0,0.0,0.0,1.048571765219145,1.1588163723783362
2020-04-25,56.40912696282825,0,0.0,0,0.0,0.0,1.0486524950308451,1.158905589950886
2020-04-26,56.6100811720933,0,0.0,0,0.0,0.0,1.0491283153517323,1.1594314370091836
2020-04-27,56.85686897820844,0,0.0,0,0.0,0.0,1.0500509480393456,1.1604510733369597
2020-04-28,57.05255802055294,0,0.0,0,0.0,0.0,1.0513333958321462,1.1618683549654683
2020-04-29,57.135740439190485,0,0.0,0,0.0,0.0,1.052659001951593,1.163333332495374
2020-04-30,57.12910235644627,0,0.0,0,0.0,0.0,1.053607151291985,1.1643811682425784
2020-05-01,57.121313305166524,0,0.0,0,0.0,0.0,1.053874851195127,1.1646770135446693
2020-05-02,57.19893615927499,0,0.0,0,0.0,0.0,1.0534139959215951,1.164167704927005
2020-05-03,57.379381443115705,0,0.0,0,0.0,0.0,1.0523575209606886,1.1630001544337392
2020-05-04,57.59508982147249,0,0.0,0,0.0,0.0,1.0508385093320614,1.1613214371504081
2020-05-05,57.74028789327174,0,0.0,0,0.0,0.0,1.048897785261914,1.1591766694756027
2020-05-06,57.7471699656437,0,0.0,0,0.0,0.0,1.0465447112949022,1.1565761983120286
2020-05-07,57.636820260914945,"[9.0, 10.0, 11.0, 11.0, 11.0]",4.0,"[0.0, 0.1351037390747074, 0.21375347652532523, 0.22308948005513782, 0.19194497723826218, 0.12318077482507771, 0.05991687173938354, 0.027811849788461743, 0.013041484471846446, 0.0063387148010432435, 0.003121693385878933, 0.001433571274881135, 0.0006745156320908878, 0.00031835763221831087, 0.00014785621314721868, 6.691023839484258e-05, 3.165005140562861e-05, 1.521441822551437e-05, 5.998488618046832e-06, 2.8641458943817413e-06]",47.25891711502548,0.7501432585697689,1.0438721264591628,1.153622623585956
